Frequency,CE-120-0,CE-120-1,CE-120-2,CE-120-3,CE-120-4,CE-120-5,CE-120-6,CE-120-7,CE-120-8,CE-120-9,CE-120-10,CE-120-11,CE-120-12,CE-120-13,CE-120-14,CE-120-15,CE-120-16,CE-120-17,CE-120-18,CE-120-19,CE-120-20,CS-120-1,CS-120-2,CS-120-3,CS-120-4,CS-120-5,CS-120-6,CS-120-7,CS-120-8,CS-120-9,CS-120-10,LEQ1218-0,LEQ1218-1,LEQ1218-2,LEQ1218-3,LEQ1218-4,LEQ1218-5,LEQ1218-6,LEQ1218-7,LEQ1218-8,LEQ1218-9,LEQ1218-10,LEQ1218-11,LEQ1218-12,LEQ1218-13,LEQ1218-14,LEQ1218-15,LEQ1218-16,LEQ1218-17,LEQ1218-18,LEQ1218-19,LEQ1218-20
54,0,-1.7,-2.7,-3.7,-4.7,-5.7,-6.7,-7.7,-8.7,-9.7,-10.7,-11.7,-12.7,-13.7,-14.7,-15.7,-16.7,-17.7,-18.7,-19.7,-20.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,-1.6,-2.6,-3.6,-4.6,-5.6,-6.6,-7.6,-8.6,-9.6,-10.6,-11.6,-12.6,-13.6,-14.6,-15.6,-16.6,-17.6,-18.6,-19.6,-20.6
55,0,-1.7,-2.6906,-3.6938,-4.6938,-5.6904,-6.6875,-7.6875,-8.6783,-9.6783,-10.681,-11.672,-12.672,-13.675,-14.678,-15.666,-16.669,-17.669,-18.66,-19.662,-20.662,-0.7,-0.70936,-0.70625,-0.70625,-0.71549,-0.7125,-0.7125,-0.72172,-0.71875,-0.71875,0,-1.599140893,-2.598281787,-3.59742268,-4.596563574,-5.595704467,-6.594845361,-7.593986254,-8.593127148,-9.592268041,-10.59140893,-11.59054983,-12.58969072,-13.58883162,-14.58797251,-15.5871134,-16.5862543,-17.58539519,-18.58453608,-19.58367698,-20.58281787
55.25,0,-1.7,-2.6883,-3.6922,-4.6922,-5.6879,-6.6844,-7.6844,-8.6729,-9.6729,-10.677,-11.665,-12.665,-13.669,-14.672,-15.657,-16.661,-17.661,-18.649,-19.653,-20.653,-0.7,-0.71169,-0.70781,-0.70781,-0.71932,-0.71562,-0.71562,-0.72709,-0.72344,-0.72344,0,-1.598926117,-2.597852234,-3.596778351,-4.595704467,-5.594630584,-6.593556701,-7.592482818,-8.591408935,-9.590335052,-10.58926117,-11.58818729,-12.5871134,-13.58603952,-14.58496564,-15.58389175,-16.58281787,-17.58174399,-18.5806701,-19.57959622,-20.57852234
61.25,0,-1.7,-2.6367,-3.6547,-4.6547,-5.6206,-6.6094,-7.6094,-8.5505,-9.5505,-10.564,-11.506,-12.506,-13.519,-14.531,-15.46,-16.473,-17.473,-18.415,-19.428,-20.428,-0.7,-0.76332,-0.74531,-0.74531,-0.80489,-0.79063,-0.79063,-0.84945,-0.83594,-0.83594,0,-1.593771478,-2.587542955,-3.581314433,-4.575085911,-5.568857388,-6.562628866,-7.556400344,-8.550171821,-9.543943299,-10.53771478,-11.53148625,-12.52525773,-13.51902921,-14.51280069,-15.50657216,-16.50034364,-17.49411512,-18.4878866,-19.48165808,-20.47542955
67.25,0,-1.7,-2.6042,-3.6172,-4.6172,-5.5403,-6.5344,-7.5344,-8.4433,-9.4433,-10.452,-11.361,-12.361,-13.369,-14.375,-15.278,-16.286,-17.286,-18.195,-19.203,-20.203,-0.7,-0.79582,-0.78281,-0.78281,-0.87471,-0.86562,-0.86562,-0.95673,-0.94844,-0.94844,0,-1.588616838,-2.577233677,-3.565850515,-4.554467354,-5.543084192,-6.531701031,-7.520317869,-8.508934708,-9.497551546,-10.48616838,-11.47478522,-12.46340206,-13.4520189,-14.44063574,-15.42925258,-16.41786942,-17.40648625,-18.39510309,-19.38371993,-20.37233677
77.25,0,-1.657,-2.6,-3.5538,-4.5574,-5.3385,-6.4075,-7.4119,-8.3021,-9.3065,-10.261,-11.155,-12.16,-13.115,-14.07,-15.014,-15.969,-16.974,-17.868,-18.823,-19.828,-0.74299,-0.8,-0.84625,-0.84255,-0.94707,-0.9925,-0.9925,-1.0979,-1.1452,-1.1387,0,-1.580025773,-2.560051546,-3.54007732,-4.520103093,-5.500128866,-6.480154639,-7.460180412,-8.440206186,-9.420231959,-10.40025773,-11.38028351,-12.36030928,-13.34033505,-14.32036082,-15.3003866,-16.28041237,-17.26043814,-18.24046392,-19.22048969,-20.20051546
83.25,0,-1.6078,-2.6,-3.5162,-4.5201,-5.2177,-6.3324,-7.337,-8.2314,-9.2361,-10.149,-11.048,-12.052,-12.965,-13.876,-14.869,-15.781,-16.786,-17.685,-18.597,-19.603,-0.79215,-0.8,-0.8838,-0.87991,-0.98073,-1.0676,-1.0676,-1.1686,-1.2582,-1.2514,0,-1.574871134,-2.549742268,-3.524613402,-4.499484536,-5.47435567,-6.449226804,-7.424097938,-8.398969072,-9.373840206,-10.34871134,-11.32358247,-12.29845361,-13.27332474,-14.24819588,-15.22306701,-16.19793814,-17.17280928,-18.14768041,-19.12255155,-20.09742268
85,0,-1.6011,-2.6,-3.5058,-4.5076,-5.2025,-6.3116,-7.3137,-8.2114,-9.2136,-10.117,-11.017,-12.02,-12.923,-13.826,-14.825,-15.729,-16.731,-17.631,-18.535,-19.537,-0.79888,-0.8,-0.89421,-0.8924,-0.99252,-1.0884,-1.0884,-1.1886,-1.2858,-1.2826,0,-1.573367698,-2.546735395,-3.520103093,-4.49347079,-5.466838488,-6.440206186,-7.413573883,-8.386941581,-9.360309278,-10.33367698,-11.30704467,-12.28041237,-13.25378007,-14.22714777,-15.20051546,-16.17388316,-17.14725086,-18.12061856,-19.09398625,-20.06735395
91.25,0,-1.6,-2.5856,-3.4705,-4.449,-5.2,-6.241,-7.2186,-8.1424,-9.1205,-10.013,-10.913,-11.891,-12.783,-13.677,-14.661,-15.553,-16.531,-17.431,-18.324,-19.3,-0.8,-0.81439,-0.92949,-0.951,-1.0502,-1.159,-1.158,-1.2576,-1.3631,-1.3874,0,-1.567998282,-2.535996564,-3.503994845,-4.471993127,-5.439991409,-6.407989691,-7.375987973,-8.343986254,-9.311984536,-10.27998282,-11.2479811,-12.21597938,-13.18397766,-14.15197595,-15.11997423,-16.08797251,-17.05597079,-18.02396907,-18.99196735,-19.95996564
97.25,0,-1.6,-2.5475,-3.4384,-4.3783,-5.2,-6.1768,-7.1164,-8.0804,-9.0214,-9.9179,-10.819,-11.76,-12.655,-13.553,-14.498,-15.394,-16.335,-17.236,-18.132,-19.071,-0.8,-0.85253,-0.96158,-1.0217,-1.1196,-1.2232,-1.2206,-1.3196,-1.4226,-1.4821,0,-1.562843643,-2.525687285,-3.488530928,-4.45137457,-5.414218213,-6.377061856,-7.339905498,-8.302749141,-9.265592784,-10.22843643,-11.19128007,-12.15412371,-13.11696735,-14.079811,-15.04265464,-16.00549828,-16.96834192,-17.93118557,-18.89402921,-19.85687285
102,0,-1.6,-2.5154,-3.4144,-4.3261,-5.2,-6.1289,-7.0407,-8.0317,-8.9446,-9.8454,-10.746,-11.659,-12.559,-13.46,-14.373,-15.273,-16.187,-17.088,-17.988,-18.9,-0.8,-0.8846,-0.98557,-1.0739,-1.1723,-1.2711,-1.2692,-1.3683,-1.4684,-1.5546,0,-1.558762887,-2.517525773,-3.47628866,-4.435051546,-5.393814433,-6.35257732,-7.311340206,-8.270103093,-9.228865979,-10.18762887,-11.14639175,-12.10515464,-13.06391753,-14.02268041,-14.9814433,-15.94020619,-16.89896907,-17.85773196,-18.81649485,-19.77525773
103.25,0,-1.6,-2.5083,-3.4083,-4.3143,-5.2,-6.1167,-7.0229,-8.0186,-8.9255,-9.8264,-10.727,-11.634,-12.534,-13.435,-14.342,-15.242,-16.15,-17.051,-17.951,-18.857,-0.8,-0.8917,-0.99165,-1.0857,-1.1845,-1.2833,-1.282,-1.3814,-1.4812,-1.5736,0,-1.557689003,-2.515378007,-3.47306701,-4.430756014,-5.388445017,-6.346134021,-7.303823024,-8.261512027,-9.219201031,-10.17689003,-11.13457904,-12.09226804,-13.04995704,-14.00764605,-14.96533505,-15.92302405,-16.88071306,-17.83840206,-18.79609107,-19.75378007
109.25,0,-1.5997,-2.4828,-3.3802,-4.2692,-5.1978,-6.0602,-6.9487,-7.954,-8.8405,-9.7358,-10.634,-11.521,-12.418,-13.314,-14.201,-15.098,-15.983,-16.881,-17.779,-18.666,-0.8003,-0.91716,-1.0198,-1.1306,-1.2341,-1.3398,-1.3442,-1.446,-1.5476,-1.6642,0,-1.552534364,-2.505068729,-3.457603093,-4.410137457,-5.362671821,-6.315206186,-7.26774055,-8.220274914,-9.172809278,-10.12534364,-11.07787801,-12.03041237,-12.98294674,-13.9354811,-14.88801546,-15.84054983,-16.79308419,-17.74561856,-18.69815292,-19.65068729
115.25,0,-1.5983,-2.4594,-3.3529,-4.228,-5.1875,-6.0046,-6.8795,-7.8881,-8.7586,-9.6453,-10.54,-11.41,-12.305,-13.192,-14.063,-14.958,-15.822,-16.716,-17.61,-18.482,-0.80171,-0.94058,-1.0471,-1.171,-1.2799,-1.3954,-1.4072,-1.5119,-1.6163,-1.7547,0,-1.547379725,-2.49475945,-3.442139175,-4.3895189,-5.336898625,-6.284278351,-7.231658076,-8.179037801,-9.126417526,-10.07379725,-11.02117698,-11.9685567,-12.91593643,-13.86331615,-14.81069588,-15.7580756,-16.70545533,-17.65283505,-18.60021478,-19.5475945
121.25,0,-1.5958,-2.4369,-3.3263,-4.1892,-5.1697,-5.9499,-6.8137,-7.8211,-8.6789,-9.5551,-10.447,-11.303,-12.193,-13.07,-13.929,-14.819,-15.665,-16.555,-17.446,-18.304,-0.8042,-0.96308,-1.0737,-1.2083,-1.3233,-1.4501,-1.4708,-1.5789,-1.6866,-1.8449,0,-1.542225086,-2.484450172,-3.426675258,-4.368900344,-5.31112543,-6.253350515,-7.195575601,-8.137800687,-9.080025773,-10.02225086,-10.96447595,-11.90670103,-12.84892612,-13.7911512,-14.73337629,-15.67560137,-16.61782646,-17.56005155,-18.50227663,-19.44450172
127.25,0,-1.5923,-2.4153,-3.3004,-4.1527,-5.1451,-5.896,-6.7511,-7.7534,-8.6012,-9.4653,-10.353,-11.197,-12.083,-12.948,-13.797,-14.684,-15.512,-16.398,-17.284,-18.131,-0.80766,-0.98471,-1.0996,-1.243,-1.3644,-1.504,-1.5347,-1.6466,-1.7582,-1.9347,0,-1.537070447,-2.474140893,-3.41121134,-4.348281787,-5.285352234,-6.22242268,-7.159493127,-8.096563574,-9.033634021,-9.970704467,-10.90777491,-11.84484536,-12.78191581,-13.71898625,-14.6560567,-15.59312715,-16.53019759,-17.46726804,-18.40433849,-19.34140893
133.25,0,-1.588,-2.3945,-3.2751,-4.1184,-5.1146,-5.8431,-6.6913,-7.6851,-8.5252,-9.3759,-10.259,-11.094,-11.975,-12.827,-13.669,-14.55,-15.362,-16.244,-17.125,-17.963,-0.81203,-1.0055,-1.1249,-1.2753,-1.4036,-1.5569,-1.5987,-1.7149,-1.8309,-2.0241,0,-1.531915808,-2.463831615,-3.395747423,-4.32766323,-5.259579038,-6.191494845,-7.123410653,-8.05532646,-8.987242268,-9.919158076,-10.85107388,-11.78298969,-12.7149055,-13.64682131,-14.57873711,-15.51065292,-16.44256873,-17.37448454,-18.30640034,-19.23831615
139.25,0,-1.5828,-2.3745,-3.2503,-4.0859,-5.079,-5.7911,-6.634,-7.6163,-8.4509,-9.2872,-10.165,-10.992,-11.869,-12.706,-13.543,-14.419,-15.216,-16.093,-16.97,-17.8,-0.81719,-1.0255,-1.1497,-1.3056,-1.441,-1.6089,-1.6627,-1.7837,-1.9045,-2.1128,0,-1.526761168,-2.453522337,-3.380283505,-4.307044674,-5.233805842,-6.16056701,-7.087328179,-8.014089347,-8.940850515,-9.867611684,-10.79437285,-11.72113402,-12.64789519,-13.57465636,-14.50141753,-15.42817869,-16.35493986,-17.28170103,-18.2084622,-19.13522337
145.25,0,-1.5769,-2.3553,-3.226,-4.055,-5.0392,-5.7401,-6.579,-7.5473,-8.378,-9.1992,-10.072,-10.893,-11.764,-12.586,-13.419,-14.29,-15.074,-15.945,-16.816,-17.64,-0.82308,-1.0447,-1.174,-1.3342,-1.4769,-1.6599,-1.7265,-1.8527,-1.9789,-2.2008,0,-1.521606529,-2.443213058,-3.364819588,-4.286426117,-5.208032646,-6.129639175,-7.051245704,-7.972852234,-8.894458763,-9.816065292,-10.73767182,-11.65927835,-12.58088488,-13.50249141,-14.42409794,-15.34570447,-16.267311,-17.18891753,-18.11052405,-19.03213058
151.25,0,-1.5704,-2.3368,-3.2021,-4.0257,-4.996,-5.6901,-6.526,-7.4783,-8.3063,-9.1121,-9.9794,-10.795,-11.661,-12.467,-13.297,-14.163,-14.934,-15.8,-16.665,-17.484,-0.82959,-1.0632,-1.1979,-1.3616,-1.5116,-1.7099,-1.7899,-1.9217,-2.0537,-2.2879,0,-1.51645189,-2.43290378,-3.34935567,-4.26580756,-5.18225945,-6.09871134,-7.01516323,-7.93161512,-8.84806701,-9.7645189,-10.68097079,-11.59742268,-12.51387457,-13.43032646,-14.34677835,-15.26323024,-16.17968213,-17.09613402,-18.01258591,-18.9290378
157.25,0,-1.5634,-2.319,-3.1786,-3.9976,-4.9502,-5.6411,-6.4746,-7.4094,-8.2357,-9.0259,-9.8871,-10.699,-11.559,-12.35,-13.178,-14.038,-14.797,-15.657,-16.516,-17.331,-0.83663,-1.081,-1.2214,-1.388,-1.5452,-1.7589,-1.8527,-1.9906,-2.1288,-2.3741,0,-1.511297251,-2.422594502,-3.333891753,-4.245189003,-5.156486254,-6.067783505,-6.979080756,-7.890378007,-8.801675258,-9.712972509,-10.62426976,-11.53556701,-12.44686426,-13.35816151,-14.26945876,-15.18075601,-16.09205326,-17.00335052,-17.91464777,-18.82594502
163.25,0,-1.5559,-2.3019,-3.1553,-3.9706,-4.9027,-5.5933,-6.4247,-7.3409,-8.1659,-8.9407,-9.7955,-10.605,-11.459,-12.233,-13.06,-13.914,-14.662,-15.516,-16.369,-17.181,-0.84413,-1.0981,-1.2447,-1.4138,-1.5781,-1.8067,-1.9146,-2.0591,-2.204,-2.4593,0,-1.506142612,-2.412285223,-3.318427835,-4.224570447,-5.130713058,-6.03685567,-6.942998282,-7.849140893,-8.755283505,-9.661426117,-10.56756873,-11.47371134,-12.37985395,-13.28599656,-14.19213918,-15.09828179,-16.0044244,-16.91056701,-17.81670962,-18.72285223
169.25,0,-1.548,-2.2854,-3.1323,-3.9445,-4.8544,-5.5466,-6.3759,-7.2729,-8.0968,-8.8568,-9.7047,-10.512,-11.359,-12.119,-12.945,-13.792,-14.53,-15.377,-16.224,-17.033,-0.85199,-1.1146,-1.2677,-1.4393,-1.6105,-1.8534,-1.9756,-2.1271,-2.2791,-2.5432,0,-1.500987973,-2.401975945,-3.302963918,-4.20395189,-5.104939863,-6.005927835,-6.906915808,-7.80790378,-8.708891753,-9.609879725,-10.5108677,-11.41185567,-12.31284364,-13.21383162,-14.11481959,-15.01580756,-15.91679553,-16.81778351,-17.71877148,-18.61975945
175.25,0,-1.5399,-2.2695,-3.1094,-3.919,-4.806,-5.501,-6.3278,-7.2057,-8.0282,-8.7742,-9.6147,-10.421,-11.261,-12.006,-12.83,-13.67,-14.4,-15.24,-16.08,-16.887,-0.86011,-1.1305,-1.2906,-1.465,-1.6425,-1.899,-2.0355,-2.1943,-2.3538,-2.6258,0,-1.495833333,-2.391666667,-3.2875,-4.183333333,-5.079166667,-5.975,-6.870833333,-7.766666667,-8.6625,-9.558333333,-10.45416667,-11.35,-12.24583333,-13.14166667,-14.0375,-14.93333333,-15.82916667,-16.725,-17.62083333,-18.51666667
181.25,0,-1.5316,-2.2541,-3.0866,-3.894,-4.7584,-5.4567,-6.2803,-7.1394,-7.9599,-8.693,-9.5258,-10.331,-11.163,-11.896,-12.718,-13.55,-14.272,-15.104,-15.937,-16.743,-0.86842,-1.1459,-1.3134,-1.491,-1.6746,-1.9433,-2.0939,-2.2606,-2.4279,-2.707,0,-1.490678694,-2.381357388,-3.272036082,-4.162714777,-5.053393471,-5.944072165,-6.834750859,-7.725429553,-8.616108247,-9.506786942,-10.39746564,-11.28814433,-12.17882302,-13.06950172,-13.96018041,-14.85085911,-15.7415378,-16.63221649,-17.52289519,-18.41357388
