Frequency,FFT2-7Q,FFT2-10Q,FFT2-12Q,FFT2-14Q,FFT2-17Q,FFT2-20Q,FFT2-23Q,FFT2-26Q,FFT2-29Q,FFT4-10Q,FFT4-14Q,FFT4-15.5Q,FFT4-17Q,FFT4-20Q,FFT4-23Q,FFT4-26Q,FFT4-29Q,FFT8-14Q,FFT8-17Q,FFT8-20Q,FFT8-23Q,FFT8-26Q,FFT8-29Q
54,-2.7049,-1.3031,-1.0049,-0.60314,-0.50507,-0.40327,-0.30327,-0.30327,-0.20343,-3.2048,-1.203,-0.90491,-0.70314,-0.50524,-0.40327,-0.30327,-0.30327,-3.2029,-1.2031,-0.90327,-0.70314,-0.50343,-0.30327
55,-2.7076,-1.3048,-1.0076,-0.60484,-0.50781,-0.40505,-0.30505,-0.30505,-0.20529,-3.2074,-1.2047,-0.90757,-0.70484,-0.50808,-0.40505,-0.30505,-0.30505,-3.2045,-1.2048,-0.90505,-0.70484,-0.50529,-0.30505
55.25,-2.7083,-1.3053,-1.0083,-0.60532,-0.50858,-0.40554,-0.30554,-0.30554,-0.20582,-3.2081,-1.2051,-0.90832,-0.70532,-0.50888,-0.40554,-0.30554,-0.30554,-3.205,-1.2053,-0.90554,-0.70532,-0.50582,-0.30554
61.25,-2.7351,-1.3225,-1.0351,-0.62251,-0.53615,-0.4234,-0.3234,-0.3234,-0.22448,-3.2342,-1.2218,-0.93511,-0.72251,-0.53734,-0.4234,-0.3234,-0.3234,-3.2211,-1.2225,-0.9234,-0.72251,-0.52448,-0.3234
67.25,-2.7753,-1.3484,-1.0753,-0.64842,-0.57736,-0.45019,-0.35019,-0.35019,-0.25234,-3.2735,-1.2469,-0.97529,-0.74842,-0.57973,-0.45019,-0.35019,-0.35019,-3.2457,-1.2484,-0.95019,-0.74842,-0.55234,-0.35019
77.25,-2.8577,-1.4021,-1.1577,-0.70208,-0.66131,-0.50515,-0.40515,-0.40515,-0.30886,-3.3546,-1.2995,-1.0577,-0.80208,-0.66543,-0.50515,-0.40515,-0.40515,-3.2973,-1.3021,-1.0051,-0.80208,-0.60886,-0.40515
83.25,-2.9079,-1.4352,-1.2079,-0.73523,-0.71181,-0.53859,-0.43859,-0.43859,-0.34266,-3.4044,-1.3324,-1.1079,-0.83523,-0.71633,-0.53859,-0.43859,-0.43859,-3.33,-1.3352,-1.0386,-0.83523,-0.64266,-0.43859
85,-2.9216,-1.4444,-1.2216,-0.74442,-0.72553,-0.54775,-0.44775,-0.44775,-0.3518,-3.4182,-1.3416,-1.1216,-0.84442,-0.73001,-0.54775,-0.44775,-0.44775,-3.3392,-1.3444,-1.0478,-0.84442,-0.6518,-0.44775
91.25,-2.9647,-1.4737,-1.2647,-0.77374,-0.76782,-0.57644,-0.47644,-0.47644,-0.37971,-3.4619,-1.3715,-1.1647,-0.87374,-0.77145,-0.57644,-0.47644,-0.47644,-3.3695,-1.3737,-1.0764,-0.87374,-0.67971,-0.47644
97.25,-2.9928,-1.4941,-1.2928,-0.79412,-0.79415,-0.59523,-0.49523,-0.49523,-0.39658,-3.4917,-1.3932,-1.1928,-0.89412,-0.79564,-0.59523,-0.49523,-0.49523,-3.3924,-1.3941,-1.0952,-0.89412,-0.69658,-0.49523
102,-3.0037,-1.5033,-1.3037,-0.80335,-0.80261,-0.60244,-0.50244,-0.50244,-0.40135,-3.5046,-1.4041,-1.2037,-0.90335,-0.8014,-0.60244,-0.50245,-0.50244,-3.4048,-1.4033,-1.1024,-0.90335,-0.70135,-0.50244
103.25,-3.006,-1.5054,-1.3059,-0.80542,-0.80422,-0.60395,-0.50395,-0.50395,-0.40218,-3.5075,-1.4066,-1.2059,-0.90542,-0.80226,-0.60395,-0.50398,-0.50395,-3.4077,-1.4054,-1.1039,-0.90542,-0.70218,-0.50395
109.25,-3.0168,-1.5151,-1.3166,-0.81516,-0.81176,-0.61102,-0.51102,-0.51102,-0.40606,-3.5209,-1.4186,-1.2165,-0.91516,-0.80628,-0.61102,-0.5112,-0.51102,-3.4217,-1.415,-1.111,-0.91516,-0.70604,-0.51102
115.25,-3.0274,-1.5243,-1.3268,-0.82456,-0.81896,-0.61779,-0.51779,-0.51779,-0.40974,-3.5338,-1.43,-1.2266,-0.92456,-0.81009,-0.61779,-0.51828,-0.51779,-3.4354,-1.4242,-1.1176,-0.92456,-0.70968,-0.51779
121.25,-3.0378,-1.5332,-1.3367,-0.83362,-0.82585,-0.62427,-0.52427,-0.52427,-0.41323,-3.5463,-1.4411,-1.2362,-0.93362,-0.81369,-0.62427,-0.5252,-0.52427,-3.4487,-1.433,-1.124,-0.93362,-0.71312,-0.52427
127.25,-3.048,-1.5417,-1.3461,-0.84237,-0.83242,-0.63047,-0.53047,-0.53047,-0.41653,-3.5584,-1.4517,-1.2454,-0.94237,-0.81711,-0.63047,-0.53197,-0.53047,-3.4617,-1.4413,-1.13,-0.94237,-0.71636,-0.53047
133.25,-3.0579,-1.5498,-1.3552,-0.8508,-0.8387,-0.6364,-0.5364,-0.5364,-0.41966,-3.5701,-1.462,-1.2542,-0.9508,-0.82034,-0.6364,-0.53859,-0.5364,-3.4745,-1.4492,-1.1358,-0.9508,-0.71942,-0.5364
139.25,-3.0676,-1.5575,-1.3639,-0.85892,-0.84468,-0.64207,-0.54207,-0.54207,-0.42262,-3.5814,-1.4719,-1.2625,-0.95892,-0.82339,-0.64207,-0.54506,-0.54207,-3.4869,-1.4568,-1.1412,-0.95892,-0.72229,-0.54207
145.25,-3.0771,-1.5649,-1.3723,-0.86676,-0.85038,-0.64749,-0.54749,-0.54749,-0.42542,-3.5923,-1.4814,-1.2705,-0.96676,-0.82627,-0.64749,-0.55139,-0.54749,-3.499,-1.464,-1.1463,-0.96676,-0.72498,-0.54749
